0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
1,0,9.2697,7.3086,10.759,11.641,8.8982,6.0791,10.156,12.063,6.4266,8.9769,7.7507,6.4005,10.244,7.6011,5.4673,4.1385,12.361,3.578,16.024,17.821,14.11,2.6571,7.1414,4.6465,14.313,5.4441,16.042,17.608,8.2291,11.4,14.196,5.2223,5.6715,4.3455,10.373,13.019,14.923,5.5948,14.997,7.4966,6.8347,11.808,10.48,6.4174,9.1962,16.418,16.928,5.6412,5.7707,6.9346,9.7871,9.5852,11.089
2,9.2697,0,3.7955,3.6032,4.295,5.819,5.7514,1.6063,3.2219,7.4543,1.1606,1.9551,6.8856,4.5839,9.5909,11.01,6.8939,8.1258,5.8942,9.0814,11.823,12.248,7.2665,2.4267,4.797,6.5523,4.0418,10.703,12.368,2.3393,3.3213,10.23,10.588,6.0043,7.7891,8.7175,8.2995,11.238,4.9932,9.8275,7.0565,4.1379,4.6984,6.9108,5.8511,2.0412,9.895,10.853,5.7968,5.2315,5.6977,7.1113,4.574,7.1864
3,7.3086,3.7955,0,3.5017,4.3583,2.5866,6.7723,5.3486,5.3444,8.4645,2.8687,1.9714,3.1386,2.9975,10.652,10.866,3.8096,5.9104,4.6606,8.8137,10.898,9.2779,6.0386,3.5465,3.5458,7.0582,3.3721,9.3344,10.979,4.4137,4.4666,8.0644,10.389,6.6565,4.6918,5.4585,6.4367,8.9753,2.8828,8.3574,8.4802,2.2476,4.7875,4.42,6.7566,3.6962,9.3653,10.033,5.8085,4.7449,3.1614,4.4266,3.635,5.1561
4,10.759,3.6032,3.5017,0,0.90139,3.6393,8.9286,4.8517,2.5778,10.684,2.8237,3.4681,6.0405,1.5132,12.88,13.77,7.2541,4.7513,7.798,5.7801,8.3197,9.0806,9.2267,5.2071,6.5837,3.6944,6.0845,7.1619,8.794,5.319,1.7123,6.8058,13.282,8.973,7.9861,6.1572,4.8905,7.7858,5.8551,6.3616,10.339,4.6896,2.1742,4.3145,8.8262,3.6793,6.5846,7.4804,8.1957,7.1717,5.532,5.0366,3.6358,4.7331
5,11.641,4.295,4.3583,0.90139,0,4.1306,9.769,5.388,2.5305,11.521,3.6115,4.3506,6.7246,1.9104,13.708,14.659,8.0727,4.5181,8.6925,4.9348,7.5528,8.9288,10.118,6.0429,7.476,2.8466,6.9698,6.5217,8.1201,6.0565,1.7972,6.4369,14.166,9.8204,8.7652,6.3497,4.5343,7.4025,6.6919,5.8021,11.125,5.5012,1.9686,4.4782,9.6404,4.3415,5.807,6.7482,9.025,7.9938,6.2392,5.3381,4.108,4.8111
6,8.8982,5.819,2.5866,3.6393,4.1306,0,9.3347,7.3712,6.1073,11.001,4.7598,4.3276,2.8907,2.2391,13.163,13.11,4.8865,3.5696,6.8366,7.3755,8.9357,6.7016,8.0712,6.0348,5.8396,6.3731,5.8006,7.2231,8.7832,6.6987,4.9774,5.6604,12.594,9.1281,5.4076,3.0731,4.2907,6.4986,4.6639,6.2824,10.972,4.0009,4.546,2.5637,9.1772,5.4533,7.7461,8.2104,8.0264,6.8176,3.9082,2.9562,4.0091,3.6839
7,6.0791,5.7514,6.7723,8.9286,9.769,9.3347,0,5.7208,8.915,1.7632,6.2139,5.5522,8.4322,9.3132,3.9895,5.4431,6.7361,12.604,3.6961,14.628,17.183,15.941,4.0265,3.8729,3.9557,12.205,3.7563,15.786,17.492,4.3934,8.8685,14.729,5.2144,1.5295,7.5057,11.938,12.98,15.688,5.6602,14.774,2.5726,6.1347,9.9414,10.782,2.3239,6.2412,15.303,16.144,3.4832,4.3352,7.4044,10.421,8.3747,11.121
8,10.156,1.6063,5.3486,4.8517,5.388,7.3712,5.7208,0,3.5906,7.2601,2.6222,3.4275,8.3814,5.9926,9.2391,11.134,8.1824,9.472,6.7001,9.8688,12.754,13.703,7.9495,3.1142,5.731,7.1907,4.9134,11.768,13.426,2.4397,4.1062,11.5,10.707,6.038,9.0295,10.197,9.5336,12.528,6.1046,10.913,6.6004,5.3186,5.5731,8.2376,5.7418,2.7202,10.7,11.716,6.0737,5.7749,6.8778,8.4086,5.5672,8.3561
9,12.063,3.2219,5.3444,2.5778,2.5305,6.1073,8.915,3.5906,0,10.58,3.1021,4.3204,8.2146,4.0016,12.653,14.162,8.9924,6.8917,8.7241,6.3272,9.2802,11.353,10.122,5.3821,7.5276,3.6181,6.8199,8.4879,10.08,4.9175,1.3184,8.6805,13.645,9.0224,9.7189,8.515,6.7318,9.6863,7.0683,7.762,9.9006,5.8605,2.7468,6.3394,8.6876,3.404,7.2123,8.2787,8.4396,7.6449,6.9702,6.9312,4.5392,6.3545
10,6.4266,7.4543,8.4645,10.684,11.521,11.001,1.7632,7.2601,10.58,0,7.949,7.3028,9.8729,11.058,2.2332,4.1721,7.9644,14.309,4.8417,16.364,18.929,17.541,4.6611,5.5812,5.3988,13.917,5.3272,17.515,19.23,5.9697,10.57,16.415,4.0834,2.3282,8.6127,13.506,14.685,17.37,7.0923,16.484,2.2087,7.6975,11.637,12.413,3.0399,7.8737,17.023,17.86,4.4107,5.5294,8.8366,11.979,9.9658,12.721
11,8.9769,1.1606,2.8687,2.8237,3.6115,4.7598,6.2139,2.6222,3.1021,7.949,0,1.2669,5.9336,3.5828,10.116,11.241,6.1756,7.0982,5.6412,8.4197,11.06,11.182,7.0546,2.4752,4.4504,6.0167,3.7583,9.8141,11.512,2.5653,2.7345,9.2003,10.738,6.2576,7.003,7.5945,7.2831,10.215,4.2557,8.8823,7.5262,3.2428,3.8714,5.7652,6.0864,1.5334,9.1427,10.042,5.6909,4.8875,4.7098,5.9518,3.5219,6.0591
12,7.7507,1.9551,1.9714,3.4681,4.3506,4.3276,5.5522,3.4275,4.3204,7.3028,1.2669,0,4.9651,3.78,9.5061,10.312,4.9861,7.1987,4.5124,9.1774,11.64,10.981,5.95,1.9121,3.3154,6.9573,2.7168,10.256,11.95,2.6243,3.7981,9.3515,9.833,5.5617,5.8852,7.2115,7.5296,10.333,3.2515,9.2888,7.1055,2.4598,4.6764,5.6933,5.5407,2.2145,9.8452,10.666,4.985,4.1428,4.006,5.7224,3.7151,6.1386
13,6.4005,6.8856,3.1386,6.0405,6.7246,2.8907,8.4322,8.3814,8.2146,9.8729,5.9336,4.9651,0,4.8819,11.87,11.162,2.3578,6.0547,5.1686,10.196,11.599,7.9291,6.079,6.0248,4.5776,9.1051,4.9518,9.7565,11.264,6.98,7.1314,7.8141,10.631,8.0326,2.7185,4.0439,6.7821,8.5253,3.485,8.7535,10.082,3.711,6.8902,4.4446,8.2475,6.4084,10.445,10.809,6.8754,5.769,3.1238,3.9907,5.2052,5.3491
14,10.244,4.5839,2.9975,1.5132,1.9104,2.2391,9.3132,5.9926,4.0016,11.058,3.5828,3.78,4.8819,0,13.259,13.78,6.4413,3.5575,7.571,5.8224,7.9709,7.7344,8.948,5.6168,6.3984,4.3081,6.0608,6.5322,8.1919,5.932,2.8979,5.7206,13.253,9.2198,7.0636,4.6499,3.8809,6.6936,5.3819,5.6331,10.789,4.3016,2.576,2.9828,9.1211,4.316,6.4173,7.1351,8.2324,7.0801,4.7522,3.7608,3.3136,3.6548
15,7.6011,9.5909,10.652,12.88,13.708,13.163,3.9895,9.2391,12.653,2.2332,10.116,9.5061,11.87,13.259,0,3.4801,9.8182,16.48,6.7287,18.519,21.109,19.636,6.1933,7.7366,7.443,16.038,7.4343,19.683,21.412,7.993,12.684,18.559,3.6017,4.223,10.332,15.57,16.84,19.517,9.0682,18.63,3.2366,9.749,13.744,14.504,4.6985,9.9266,19.156,19.993,6.0698,7.3232,10.771,14,11.986,14.759
16,5.4673,11.01,10.866,13.77,14.659,13.11,5.4431,11.134,14.162,4.1721,11.241,10.312,11.162,13.78,3.4801,0,8.8591,16.604,6.3439,19.433,21.719,19.088,5.2336,8.8251,7.4492,17.213,7.8186,20.099,21.783,9.4613,13.91,18.6,1.4532,5.3213,9.1717,15.115,17.106,19.462,8.9867,19.019,5.5634,10.016,14.734,14.576,6.0594,11.18,19.967,20.668,6.6219,7.6951,10.647,13.924,12.624,14.964
17,4.1385,6.8939,3.8096,7.2541,8.0727,4.8865,6.7361,8.1824,8.9924,7.9644,6.1756,4.9861,2.3578,6.4413,9.8182,8.8591,0,8.259,3.1634,12.081,13.746,10.24,3.8166,5.2902,3.0322,10.617,3.7091,11.929,13.503,6.3722,8.0694,10.074,8.317,6.2257,1.2497,6.3239,8.9017,10.83,2.5993,10.874,8.3283,3.5823,8.151,6.3672,6.5758,6.4744,12.389,12.841,5.2139,4.378,3.3241,5.7251,6.017,7.0539
18,12.361,8.1258,5.9104,4.7513,4.5181,3.5696,12.604,9.472,6.8917,14.309,7.0982,7.1987,6.0547,3.5575,16.48,16.604,8.259,0,10.278,4.746,5.561,4.4764,11.503,8.9751,9.2281,5.1017,9.0768,3.7226,5.2518,9.2872,5.7956,2.2271,16.012,12.356,8.5164,3.0299,1.0666,3.1492,7.8441,2.8706,14.031,6.9569,4.6285,2.6232,12.244,7.5708,4.7759,4.9552,11.089,9.815,6.599,3.7285,5.5008,3.2735
19,3.578,5.8942,4.6606,7.798,8.6925,6.8366,3.6961,6.7001,8.7241,4.8417,5.6412,4.5124,5.1686,7.571,6.7287,6.3439,3.1634,10.278,0,13.279,15.433,13.004,1.4468,3.6255,1.2288,11.272,1.9247,13.768,15.456,4.6605,8.1447,12.272,5.7665,3.0997,3.8199,8.9434,10.764,13.157,2.7398,12.684,5.2217,3.7942,8.712,8.249,3.6105,5.7014,13.741,14.388,2.6539,2.5441,4.5032,7.6703,6.5566,8.702
20,16.024,9.0814,8.8137,5.7801,4.9348,7.3755,14.628,9.8688,6.3272,16.364,8.4197,9.1774,10.196,5.8224,18.519,19.433,12.081,4.746,13.279,0,3.0427,8.0766,14.646,10.812,12.077,2.7448,11.632,3.0456,4.1562,10.635,5.907,4.8648,18.837,14.542,12.49,7.7176,4.0358,5.4657,10.91,3.1729,15.762,9.7114,4.9306,6.3152,14.24,8.7308,1.3663,2.4151,13.466,12.322,9.8577,7.4092,7.4582,6.198
21,17.821,11.823,10.898,8.3197,7.5528,8.9357,17.183,12.754,9.2802,18.929,11.06,11.64,11.599,7.9709,21.109,21.719,13.746,5.561,15.433,3.0427,0,7.0831,16.743,13.375,14.284,5.7628,13.957,2.0525,1.5141,13.333,8.7305,4.4634,21.12,17.047,14.026,8.3157,4.9415,4.4355,12.976,3.2253,18.422,11.886,7.5923,7.7078,16.796,11.419,2.5249,1.972,15.856,14.634,11.728,8.7688,9.7243,7.6597
22,14.11,12.248,9.2779,9.0806,8.9288,6.7016,15.941,13.703,11.353,17.541,11.182,10.981,7.9291,7.7344,19.636,19.088,10.24,4.4764,13.004,8.0766,7.0831,0,13.971,12.676,12.202,9.3403,12.306,5.4826,5.8509,13.197,10.237,3.4074,18.52,15.599,10.172,4.1548,4.9286,2.8209,10.754,5.2932,17.481,10.252,9.0446,5.9645,15.606,11.661,7.6625,7.1634,14.225,12.94,9.3926,6.4613,9.3106,6.5369
23,2.6571,7.2665,6.0386,9.2267,10.118,8.0712,4.0265,7.9495,10.122,4.6611,7.0546,5.95,6.079,8.948,6.1933,5.2336,3.8166,11.503,1.4468,14.646,16.743,13.971,0,4.9277,2.6528,12.668,3.3022,15.027,16.709,5.8411,9.5413,13.429,4.5724,3.2486,4.1674,9.9308,11.998,14.288,3.8729,13.92,5.1931,5.0417,10.065,9.3981,3.8487,7.0069,15.059,15.67,2.9946,3.2932,5.4819,8.7127,7.764,9.8164
24,7.1414,2.4267,3.5465,5.2071,6.0429,6.0348,3.8729,3.1142,5.3821,5.5812,2.4752,1.9121,6.0248,5.6168,7.7366,8.8251,5.2902,8.9751,3.6255,10.812,13.375,12.676,4.9277,0,2.6296,8.4346,1.8023,11.988,13.718,1.32,5.0985,11.074,8.2905,3.7856,6.1105,8.7458,9.2453,12.077,3.2728,10.97,5.203,2.9501,6.0769,7.2049,3.6883,2.5109,11.443,12.282,3.4433,2.9839,4.55,7.013,4.6783,7.4858
25,4.6465,4.797,3.5458,6.5837,7.476,5.8396,3.9557,5.731,7.5276,5.3988,4.4504,3.3154,4.5776,6.3984,7.443,7.4492,3.0322,9.2281,1.2288,12.077,14.284,12.202,2.6528,2.6296,0,10.044,0.84167,12.657,14.357,3.7316,6.9212,11.259,6.8675,3.4691,3.8259,8.1285,9.6797,12.174,1.8639,11.58,5.5258,2.6929,7.4962,7.2317,3.7665,4.5551,12.559,13.233,2.7466,2.1708,3.6796,6.7402,5.4381,7.679
26,14.313,6.5523,7.0582,3.6944,2.8466,6.3731,12.205,7.1907,3.6181,13.917,6.0167,6.9573,9.1051,4.3081,16.038,17.213,10.617,5.1017,11.272,2.7448,5.7628,9.3403,12.668,8.4346,10.044,0,9.4889,5.2643,6.7181,8.1268,3.3615,6.2019,16.628,12.168,11.148,7.6868,4.568,7.0908,9.0763,4.8011,13.242,7.8113,2.782,5.6965,11.828,6.2737,3.6803,4.8016,11.233,10.193,8.3072,6.6683,5.635,5.5656
27,5.4441,4.0418,3.3721,6.0845,6.9698,5.8006,3.7563,4.9134,6.8199,5.3272,3.7583,2.7168,4.9518,6.0608,7.4343,7.8186,3.7091,9.0768,1.9247,11.632,13.957,12.306,3.3022,1.8023,0.84167,9.4889,0,12.39,14.112,2.8937,6.2827,11.134,7.226,3.3282,4.4937,8.2408,9.4652,12.086,2.01,11.319,5.2488,2.4451,6.9579,7.1028,3.4776,3.8001,12.15,12.874,2.6236,2.0067,3.7247,6.6864,5.0133,7.4853
28,16.042,10.703,9.3344,7.1619,6.5217,7.2231,15.786,11.768,8.4879,17.515,9.8141,10.256,9.7565,6.5322,19.683,20.099,11.929,3.7226,13.768,3.0456,2.0525,5.4826,15.027,11.988,12.657,5.2643,12.39,0,1.8116,12.025,7.695,2.4808,19.458,15.55,12.128,6.3398,3.0503,2.6968,11.246,1.2789,17.022,10.217,6.3899,5.8034,15.311,10.122,2.3458,1.7903,14.249,12.988,9.9032,6.8229,8.1287,5.7791
29,17.608,12.368,10.979,8.794,8.1201,8.7832,17.492,13.426,10.08,19.23,11.512,11.95,11.264,8.1919,21.412,21.783,13.503,5.2518,15.456,4.1562,1.5141,5.8509,16.709,13.718,14.357,6.7181,14.112,1.8116,0,13.78,9.3754,3.6814,21.174,17.298,13.696,7.6821,4.7455,3.3404,12.968,3.0427,18.79,11.967,8.1359,7.4967,17.085,11.884,3.4841,2.6492,16.026,14.762,11.629,8.4944,9.9357,7.52
30,8.2291,2.3393,4.4137,5.319,6.0565,6.6987,4.3934,2.4397,4.9175,5.9697,2.5653,2.6243,6.98,5.932,7.993,9.4613,6.3722,9.2872,4.6605,10.635,13.333,13.197,5.8411,1.32,3.7316,8.1268,2.8937,12.025,13.78,0,4.7768,11.307,8.8328,4.1832,7.063,9.3147,9.4111,12.348,4.0704,10.996,5.1296,3.5277,5.8145,7.4866,3.7714,1.9608,11.244,12.126,3.7245,3.3544,5.0491,7.3181,4.5533,7.572
31,11.4,3.3213,4.4666,1.7123,1.7972,4.9774,8.8685,4.1062,1.3184,10.57,2.7345,3.7981,7.1314,2.8979,12.684,13.91,8.0694,5.7956,8.1447,5.907,8.7305,10.237,9.5413,5.0985,6.9212,3.3615,6.2827,7.695,9.3754,4.7768,0,7.6271,13.326,8.8164,8.7116,7.2678,5.6503,8.6625,6.1944,6.8462,9.9002,4.9344,1.5896,5.0391,8.4865,2.9648,6.6445,7.6277,7.9807,7.0321,5.8667,5.6151,3.3558,5.0557
32,14.196,10.23,8.0644,6.8058,6.4369,5.6604,14.729,11.5,8.6805,16.415,9.2003,9.3515,7.8141,5.7206,18.559,18.6,10.074,2.2271,12.272,4.8648,4.4634,3.4074,13.429,11.074,11.259,6.2019,11.134,2.4808,3.6814,11.307,7.6271,0,17.947,14.394,10.151,4.0518,1.9824,1.0854,9.7493,1.9188,16.046,8.8991,6.2715,4.1976,14.23,9.5229,4.3616,4.0003,12.993,11.69,8.3112,5.0777,7.1972,4.4195
33,5.2223,10.588,10.389,13.282,14.166,12.594,5.2144,10.707,13.645,4.0834,10.738,9.833,10.631,13.253,3.6017,1.4532,8.317,16.012,5.7665,18.837,21.12,18.52,4.5724,8.2905,6.8675,16.628,7.226,19.458,21.174,8.8328,13.326,17.947,0,4.6938,8.4957,14.482,16.454,18.829,8.2381,18.335,4.947,9.2775,14.061,13.849,5.2669,10.507,19.295,19.972,5.668,6.7712,9.8081,13.128,11.801,14.146
34,5.6715,6.0043,6.6565,8.973,9.8204,9.1281,1.5295,6.038,9.0224,2.3282,6.2576,5.5617,8.0326,9.2198,4.223,5.3213,6.2257,12.356,3.0997,14.542,17.047,15.599,3.2486,3.7856,3.4691,12.168,3.3282,15.55,17.298,4.1832,8.8164,14.394,4.6938,0,6.7845,11.499,12.678,15.366,4.9516,14.465,2.1346,5.5435,9.713,10.305,1.0542,5.9778,15.093,15.88,2.1183,3.2108,6.6212,9.8027,7.795,10.537
35,4.3455,7.7891,4.6918,7.9861,8.7652,5.4076,7.5057,9.0295,9.7189,8.6127,7.003,5.8852,2.7185,7.0636,10.332,9.1717,1.2497,8.5164,3.8199,12.49,14.026,10.172,4.1674,6.1105,3.8259,11.148,4.4937,12.128,13.696,7.063,8.7116,10.151,8.4957,6.7845,0,6.2864,9.1073,10.879,3.0466,11.028,8.8182,4.0617,8.6167,6.4647,7.0372,7.0945,12.668,13.039,5.5077,4.6497,3.3186,5.6413,6.2603,7.0376
36,10.373,8.7175,5.4585,6.1572,6.3497,3.0731,11.938,10.197,8.515,13.506,7.5945,7.2115,4.0439,4.6499,15.57,15.115,6.3239,3.0299,8.9434,7.7176,8.3157,4.1548,9.9308,8.7458,8.1285,7.6868,8.2408,6.3398,7.6821,9.3147,7.2678,4.0518,14.482,11.499,6.2864,0,3.7283,4.6356,6.6113,5.4099,13.379,6.1614,6.2594,2.5419,11.487,7.9566,7.5996,7.6253,10.075,8.792,5.2551,2.6991,5.635,3.4653
37,13.019,8.2995,6.4367,4.8905,4.5343,4.2907,12.98,9.5336,6.7318,14.685,7.2831,7.5296,6.7821,3.8809,16.84,17.106,8.9017,1.0666,10.764,4.0358,4.9415,4.9286,11.998,9.2453,9.6797,4.568,9.4652,3.0503,4.7455,9.4111,5.6503,1.9824,16.454,12.678,9.1073,3.7283,0,3.0415,8.2308,1.9974,14.255,7.2553,4.3075,2.7979,12.482,7.5929,3.887,4.0589,11.339,10.06,6.894,3.8941,5.4153,3.0396
38,14.923,11.238,8.9753,7.7858,7.4025,6.4986,15.688,12.528,9.6863,17.37,10.215,10.333,8.5253,6.6936,19.517,19.462,10.83,3.1492,13.157,5.4657,4.4355,2.8209,14.288,12.077,12.174,7.0908,12.086,2.6968,3.3404,12.348,8.6625,1.0854,18.829,15.366,10.879,4.6356,3.0415,0,10.675,2.6055,17.056,9.8751,7.3316,5.1806,15.231,10.582,4.8997,4.3435,13.973,12.668,9.2376,5.9991,8.26,5.4371
39,5.5948,4.9932,2.8828,5.8551,6.6919,4.6639,5.6602,6.1046,7.0683,7.0923,4.2557,3.2515,3.485,5.3819,9.0682,8.9867,2.5993,7.8441,2.7398,10.91,12.976,10.754,3.8729,3.2728,1.8639,9.0763,2.01,11.246,12.968,4.0704,6.1944,9.7493,8.2381,4.9516,3.0466,6.6113,8.2308,10.675,0,10.108,6.8475,1.2931,6.4019,5.622,4.9408,4.1276,11.239,11.826,3.5091,2.3146,1.8189,4.9975,4.0025,5.9853
40,14.997,9.8275,8.3574,6.3616,5.8021,6.2824,14.774,10.913,7.762,16.484,8.8823,9.2888,8.7535,5.6331,18.63,19.019,10.874,2.8706,12.684,3.1729,3.2253,5.2932,13.92,10.97,11.58,4.8011,11.319,1.2789,3.0427,10.996,6.8462,1.9188,18.335,14.465,11.028,5.4099,1.9974,2.6055,10.108,0,15.939,9.0831,5.4391,4.6286,14.202,9.0942,2.4799,2.2264,13.094,11.822,8.711,5.6138,6.9492,4.519
41,7.4966,7.0565,8.4802,10.339,11.125,10.972,2.5726,6.6004,9.9006,2.2087,7.5262,7.1055,10.082,10.789,3.2366,5.5634,8.3283,14.031,5.2217,15.762,18.422,17.481,5.1931,5.203,5.5258,13.242,5.2488,17.022,18.79,5.1296,9.9002,16.046,4.947,2.1346,8.8182,13.379,14.255,17.056,6.8475,15.939,0,7.2711,10.904,11.969,1.9308,7.0445,16.334,17.178,3.6076,4.8188,8.3795,11.489,9.1472,12.068
42,6.8347,4.1379,2.2476,4.6896,5.5012,4.0009,6.1347,5.3186,5.8605,7.6975,3.2428,2.4598,3.711,4.3016,9.749,10.016,3.5823,6.9569,3.7942,9.7114,11.886,10.252,5.0417,2.9501,2.6929,7.8113,2.4451,10.217,11.967,3.5277,4.9344,8.8991,9.2775,5.5435,4.0617,6.1614,7.2553,9.8751,1.2931,9.0831,7.2711,0,5.1209,4.7661,5.3926,3.0608,10.065,10.701,4.1353,2.8816,1.6387,4.2995,2.8014,5.0621
43,11.808,4.6984,4.7875,2.1742,1.9686,4.546,9.9414,5.5731,2.7468,11.637,3.8714,4.6764,6.8902,2.576,13.744,14.734,8.151,4.6285,8.712,4.9306,7.5923,9.0446,10.065,6.0769,7.4962,2.782,6.9579,6.3899,8.1359,5.8145,1.5896,6.2715,14.061,9.713,8.6167,6.2594,4.3075,7.3316,6.4019,5.4391,10.904,5.1209,0,3.8875,9.347,3.8658,5.4322,6.3225,8.5877,7.4912,5.6182,4.5624,2.8735,3.7182
44,10.48,6.9108,4.42,4.3145,4.4782,2.5637,10.782,8.2376,6.3394,12.413,5.7652,5.6933,4.4446,2.9828,14.504,14.576,6.3672,2.6232,8.249,6.3152,7.7078,5.9645,9.3981,7.2049,7.2317,5.6965,7.1028,5.8034,7.4967,7.4866,5.0391,4.1976,13.849,10.305,6.4647,2.5419,2.7979,5.1806,5.622,4.6286,11.969,4.7661,3.8875,0,10.113,5.8788,6.2764,6.5822,8.8141,7.5043,4.149,1.1903,3.3473,1.2194
45,6.4174,5.8511,6.7566,8.8262,9.6404,9.1772,2.3239,5.7418,8.6876,3.0399,6.0864,5.5407,8.2475,9.1211,4.6985,6.0594,6.5758,12.244,3.6105,14.24,16.796,15.606,3.8487,3.6883,3.7665,11.828,3.4776,15.311,17.085,3.7714,8.4865,14.23,5.2669,1.0542,7.0372,11.487,12.482,15.231,4.9408,14.202,1.9308,5.3926,9.347,10.113,0,5.5614,14.747,15.539,1.7399,2.8945,6.4515,9.5915,7.385,10.226
46,9.1962,2.0412,3.6962,3.6793,4.3415,5.4533,6.2412,2.7202,3.404,7.8737,1.5334,2.2145,6.4084,4.316,9.9266,11.18,6.4744,7.5708,5.7014,8.7308,11.419,11.661,7.0069,2.5109,4.5551,6.2737,3.8001,10.122,11.884,1.9608,2.9648,9.5229,10.507,5.9778,7.0945,7.9566,7.5929,10.582,4.1276,9.0942,7.0445,3.0608,3.8658,5.8788,5.5614,0,9.2968,10.173,5.0894,4.2713,4.4151,5.877,2.9174,5.8831
47,16.418,9.895,9.3653,6.5846,5.807,7.7461,15.303,10.7,7.2123,17.023,9.1427,9.8452,10.445,6.4173,19.156,19.967,12.389,4.7759,13.741,1.3663,2.5249,7.6625,15.059,11.443,12.559,3.6803,12.15,2.3458,3.4841,11.244,6.6445,4.3616,19.295,15.093,12.668,7.5996,3.887,4.8997,11.239,2.4799,16.334,10.065,5.4322,6.2764,14.747,9.2968,0,1.1556,13.858,12.669,10.007,7.293,7.6617,5.9894
48,16.928,10.853,10.033,7.4804,6.7482,8.2104,16.144,11.716,8.2787,17.86,10.042,10.666,10.809,7.1351,19.993,20.668,12.841,4.9552,14.388,2.4151,1.972,7.1634,15.67,12.282,13.233,4.8016,12.874,1.7903,2.6492,12.126,7.6277,4.0003,19.972,15.88,13.039,7.6253,4.0589,4.3435,11.826,2.2264,17.178,10.701,6.3225,6.5822,15.539,10.173,1.1556,0,14.562,13.337,10.485,7.5523,8.3117,6.2764
49,5.6412,5.7968,5.8085,8.1957,9.025,8.0264,3.4832,6.0737,8.4396,4.4107,5.6909,4.985,6.8754,8.2324,6.0698,6.6219,5.2139,11.089,2.6539,13.466,15.856,14.225,2.9946,3.4433,2.7466,11.233,2.6236,14.249,16.026,3.7245,7.9807,12.993,5.668,2.1183,5.5077,10.075,11.339,13.973,3.5091,13.094,3.6076,4.1353,8.5877,8.8141,1.7399,5.0894,13.858,14.562,0,1.3222,4.9259,8.1716,6.2815,8.918
50,5.7707,5.2315,4.7449,7.1717,7.9938,6.8176,4.3352,5.7749,7.6449,5.5294,4.8875,4.1428,5.769,7.0801,7.3232,7.6951,4.378,9.815,2.5441,12.322,14.634,12.94,3.2932,2.9839,2.1708,10.193,2.0067,12.988,14.762,3.3544,7.0321,11.69,6.7712,3.2108,4.6497,8.792,10.06,12.668,2.3146,11.822,4.8188,2.8816,7.4912,7.5043,2.8945,4.2713,12.669,13.337,1.3222,0,3.6194,6.8496,5.0628,7.6113
51,6.9346,5.6977,3.1614,5.532,6.2392,3.9082,7.4044,6.8778,6.9702,8.8366,4.7098,4.006,3.1238,4.7522,10.771,10.647,3.3241,6.599,4.5032,9.8577,11.728,9.3926,5.4819,4.55,3.6796,8.3072,3.7247,9.9032,11.629,5.0491,5.8667,8.3112,9.8081,6.6212,3.3186,5.2551,6.894,9.2376,1.8189,8.711,8.3795,1.6387,5.6182,4.149,6.4515,4.4151,10.007,10.485,4.9259,3.6194,0,3.3405,2.9997,4.3823
52,9.7871,7.1113,4.4266,5.0366,5.3381,2.9562,10.421,8.4086,6.9312,11.979,5.9518,5.7224,3.9907,3.7608,14,13.924,5.7251,3.7285,7.6703,7.4092,8.7688,6.4613,8.7127,7.013,6.7402,6.6683,6.6864,6.8229,8.4944,7.3181,5.6151,5.0777,13.128,9.8027,5.6413,2.6991,3.8941,5.9991,4.9975,5.6138,11.489,4.2995,4.5624,1.1903,9.5915,5.877,7.293,7.5523,8.1716,6.8496,3.3405,0,3.1936,1.482
53,9.5852,4.574,3.635,3.6358,4.108,4.0091,8.3747,5.5672,4.5392,9.9658,3.5219,3.7151,5.2052,3.3136,11.986,12.624,6.017,5.5008,6.5566,7.4582,9.7243,9.3106,7.764,4.6783,5.4381,5.635,5.0133,8.1287,9.9357,4.5533,3.3558,7.1972,11.801,7.795,6.2603,5.635,5.4153,8.26,4.0025,6.9492,9.1472,2.8014,2.8735,3.3473,7.385,2.9174,7.6617,8.3117,6.2815,5.0628,2.9997,3.1936,0,3.0939
54,11.089,7.1864,5.1561,4.7331,4.8111,3.6839,11.121,8.3561,6.3545,12.721,6.0591,6.1386,5.3491,3.6548,14.759,14.964,7.0539,3.2735,8.702,6.198,7.6597,6.5369,9.8164,7.4858,7.679,5.5656,7.4853,5.7791,7.52,7.572,5.0557,4.4195,14.146,10.537,7.0376,3.4653,3.0396,5.4371,5.9853,4.519,12.068,5.0621,3.7182,1.2194,10.226,5.8831,5.9894,6.2764,8.918,7.6113,4.3823,1.482,3.0939,0
